**NO**,**LINK**,**NAME**,**DESCRIPTION**,**PATH**,**DIFFICULTY**,**ROOM TYPE**,**SUBSCRIPTION TYPE**,**DURATION**,**CREATED DATE**,**TOOL TYPES**,**SPECIFIC TOOLS**,**COLOR**,**TARGET SYSTEMS**
11,https://tryhackme.com/r/room/c4ptur3th3fl4g,c4ptur3-th3-fl4g,A beginner level CTF challenge,,Easy,CTF,Free,0,21.05.2019,"Encoding/Decoding Tools, Steganography Tools",-,Red,-
12,https://tryhackme.com/r/room/peakhill,Peak Hill,Exercises in Python library abuse and some exploitation techniques,,Medium,CTF,Free,0,26.06.2019,,,,
13,https://tryhackme.com/r/room/ignite,Ignite,A new start-up has a few issues with their web server.,,Easy,CTF,Free,0,27.07.2019,"Web Scanning Tools, Password Cracking Tools, Network Scanning Tools, Penetration Testing Tools",-,Red,"Linux, Web"
14,https://tryhackme.com/r/room/basicpentestingjt,Basic Pentesting,This is a machine that allows you to practise web app hacking and privilege escalation,Complete Beginner,Easy,Walkthrough,Free,0,29.07.2019,"Web Scanning Tools, Network Scanning Tools, Penetration Testing Tools, Password Cracking Tools, Scripting and Automation Tools",-,Red,Linux
15,https://tryhackme.com/r/room/gatekeeper,Gatekeeper,Can you get past the gate and through the fire?,Offensive Pentesting,Medium,CTF,Free,0,13.08.2019,,,,
16,https://tryhackme.com/r/room/bsidesgtanonforce,Anonforce,boot2root machine for FIT and bsides guatemala CTF,,Easy,CTF,Free,0,13.08.2019,,,,
17,https://tryhackme.com/r/room/easyctf,Simple CTF,Beginner level ctf,,Easy,CTF,Free,0,20.08.2019,"Network Scanning Tools, Web Scanning Tools, Scripting, Automation and Terminal Tools, Privilege Escalation Tools",-,Red,Linux
18,https://tryhackme.com/r/room/boilerctf2,Boiler CTF,Intermediate level CTF,,Medium,CTF,Free,0,22.08.2019,,,,
19,https://tryhackme.com/r/room/bsidesgtthompson,Thompson,boot2root machine for FIT and bsides guatemala CTF,,Easy,CTF,Free,0,24.08.2019,,,,
20,https://tryhackme.com/r/room/bsidesgtlibrary,Library,boot2root machine for FIT and bsides guatemala CTF,,Easy,CTF,Free,0,25.08.2019,,,,
21,https://tryhackme.com/r/room/bsidesgtdav,Dav,boot2root machine for FIT and bsides guatemala CTF,,Easy,CTF,Free,0,26.08.2019,,,,
22,https://tryhackme.com/r/room/bsidesgtdevelpy,Develpy,boot2root machine for FIT and bsides Guatemala CTF,,Medium,CTF,Free,0,28.08.2019,,,,
23,https://tryhackme.com/r/room/bof1,Buffer Overflows,Learn how to get started with basic Buffer Overflows!,,Easy,Walkthrough,Premium,0,03.09.2019,"Scripting and Automation Tools, Penetration Testing Tools","pwn, Metasploit",Red,-
24,https://tryhackme.com/r/room/brainstorm,Brainstorm,Reverse engineer a chat program and write a script to exploit a Windows machine.,Offensive Pentesting,Medium,CTF,Premium,0,09.09.2019,,,,
25,https://tryhackme.com/r/room/breakit,Break it,Can you break the code?,,Medium,CTF,Free,0,14.09.2019,,,,
26,https://tryhackme.com/r/room/biohazard,Biohazard,"A CTF room based on the old-time survival horror game, Resident Evil. Can you survive until the end?",,Medium,CTF,Free,0,21.09.2019,,,,
27,https://tryhackme.com/r/room/adventuretime,Adventure Time,A CTF based challenge to get your blood pumping...,,Hard,CTF,Free,0,22.09.2019,,,,
28,https://tryhackme.com/r/room/scripting,Scripting,Learn basic scripting by solving some challenges!,,Medium,CTF,Free,0,24.09.2019,,,,
29,https://tryhackme.com/r/room/bebop,Bebop,Who thought making a flying shell was a good idea?,,Easy,CTF,Premium,0,10.10.2019,,,,
30,https://tryhackme.com/r/room/jokerctf,HA Joker CTF,Batman hits Joker.,,Medium,CTF,Free,0,23.10.2019,"Network Scanning Tools, Password Cracking Tools, Privilege Escalation Techniques and Tools, Scripting and Automation Tools",nmap,Red,"Linux, Web"
31,https://tryhackme.com/r/room/wgelctf,Wgel CTF,Can you exfiltrate the root flag?,,Easy,CTF,Free,0,26.10.2019,,,,
32,https://tryhackme.com/r/room/borderlands,Borderlands,Compromise a perimeter host and pivot through this network.,,Hard,CTF,Free,0,29.10.2019,,,,
33,https://tryhackme.com/r/room/agentsudoctf,Agent Sudo,You found a secret server located under the deep sea. Your task is to hack inside the server and reveal the truth.,,Easy,CTF,Free,0,30.10.2019,,,,
34,https://tryhackme.com/r/room/alfred,Alfred,"Exploit Jenkins to gain an initial shell, then escalate your privileges by exploiting Windows authentication tokens.",Offensive Pentesting,Easy,Walkthrough,Premium,45,05.11.2019,"Network Scanning Tools, Scripting and Automation Tools, Penetration Testing Tools","nmap, Metasploit",Red,Windows
35,https://tryhackme.com/r/room/toolboxvim,Toolbox: Vim,"Learn vim, a universal text editor that can be incredibly powerful when used properly. From basic text editing to editing of binary files, Vim can be an important arsenal in a security toolkit.",,Easy,CTF,Free,0,07.11.2019,,,,
36,https://tryhackme.com/r/room/ninjaskills,Ninja Skills,Practise your Linux skills and complete the challenges.,,Easy,CTF,Free,0,16.11.2019,OS Terminal Tools,-,-,Linux
37,https://tryhackme.com/r/room/reverselfiles,Reversing ELF,Room for beginner Reverse Engineering CTF players,,Easy,CTF,Free,0,25.11.2019,,,,
38,https://tryhackme.com/r/room/basicmalwarere,Basic Malware RE,"This room aims towards helping everyone learn about the basics of ""Malware Reverse Engineering"".",Cyber Defense,Medium,CTF,Free,0,26.11.2019,Reverse Engineering Tools,-,Red,App
39,https://tryhackme.com/r/room/blueprint,Blueprint,Hack into this Windows machine and escalate your privileges to Administrator.,"Offensive Pentesting, Complete Beginner",Easy,CTF,Free,0,27.11.2019,"Vulnerability Assessment Tools, Penetration Testing Tools, Network Scanning Tools, Password Cracking Tools, Web Application Security Tools, Forensics Tools, Privilege Escalation Techniques and Tools, Exploit Tools, OS Terminal Tools",-,Red,Windows
40,https://tryhackme.com/r/room/lazyadmin,LazyAdmin,Easy linux machine to practice your skills,,Easy,CTF,Free,0,28.11.2019,"Vulnerability Assessment Tools, Network Scanning Tools, Web Penetration Tools, Password Cracking Tools, Hashing Tools, OS Terminal Tools, Privilege Escalation Techniques and Tools, Database Tools, Scripting and Automation Tools, Web Application Security Tools, Exploit Tools",-,Red,"Linux, Web"
41,https://tryhackme.com/r/room/hc0nchristmasctf,hc0n Christmas CTF,hackt the planet,,Hard,CTF,Free,0,10.12.2019,,,,
42,https://tryhackme.com/r/room/ctfcollectionvol1,CTF collection Vol.1,Sharpening up your CTF skill with the collection. The first volume is designed for beginner.,,Easy,CTF,Free,0,02.01.2020,,,,
43,https://tryhackme.com/r/room/ctfcollectionvol2,CTF collection Vol.2,Sharpening up your CTF skill with the collection. The second volume is about web-based CTF.,,Medium,CTF,Free,0,07.01.2020,,,,
44,https://tryhackme.com/r/room/blue,Blue,"Deploy & hack into a Windows machine, leveraging common misconfigurations issues.",Offensive Pentesting,Easy,Walkthrough,Free,30,10.01.2020,"Network Scanning Tools, Penetration Testing Tools","nmap, Metasploit",Red,Windows
45,https://tryhackme.com/r/room/ice,Ice,"Deploy & hack into a Windows machine, exploiting a very poorly secured media server.",,Easy,Walkthrough,Free,0,10.01.2020,"Network Scanning Tools, Penetration Testing Tools, Privilege Escalation Techniques and Tools","nmap, Metasploit, Mimikatz",Red,Windows
46,https://tryhackme.com/r/room/madness,Madness,Will you be consumed by Madness?,,Easy,CTF,Free,0,11.01.2020,,,,
47,https://tryhackme.com/r/room/25daysofchristmas,Advent of Cyber 1 [2019],"Get started with Cyber Security in 25 Days - Learn the basics by doing a new, beginner friendly security challenge every day leading up to Christmas.",,Easy,Walkthrough,Free,0,11.01.2020,,,,
48,https://tryhackme.com/r/room/retro,Retro,New high score!,Offensive Pentesting,Hard,CTF,Free,0,11.01.2020,,,,
49,https://tryhackme.com/r/room/avengers,Avengers Blog,"Learn to hack into Tony Stark's machine! You will enumerate the machine, bypass a login portal via SQL injection and gain root access by command injection.",,Easy,Walkthrough,Premium,1,14.01.2020,"Network Scanning Tools, Web Scanning Tools","nmap, gobuster","Red, Blue",-
50,https://tryhackme.com/r/room/dvwa,DVWA,Basic room for testing exploits against the Damn Vulnerable Web Application box,,Easy,Walkthrough,Free,0,16.01.2020,-,-,Red,-
51,https://tryhackme.com/r/room/rptmux,tmux,"Learn to use tmux, one of the most powerful multi-tasking tools on linux!",,Easy,Walkthrough,Free,20,16.01.2020,OS Terminal Tools,tmux,-,Linux
52,https://tryhackme.com/r/room/webgoat,WebGOAT,Simple testing room for beating on WebGOAT,,Easy,Walkthrough,Free,0,16.01.2020,-,-,Red,-
53,https://tryhackme.com/r/room/wifihacking101,Wifi Hacking 101,"Learn to attack WPA(2) networks! Ideally you'll want a smartphone with you for this, preferably one that supports hosting wifi hotspots so you can follow along.",,Easy,Walkthrough,Free,0,16.01.2020,Wireless Penetration Testing Tools,airmon-ng,Red,Wireless
54,https://tryhackme.com/r/room/dailybugle,Daily Bugle,"Compromise a Joomla CMS account via SQLi, practise cracking hashes and escalate your privileges by taking advantage of yum.",Offensive Pentesting,Hard,CTF,Free,0,18.01.2020,,,,
55,https://tryhackme.com/r/room/binex,Binex,Escalate your privileges by exploiting vulnerable binaries.,,Medium,CTF,Premium,0,23.01.2020,,,,
56,https://tryhackme.com/r/room/gamezone,Game Zone,"Learn to hack into this machine. Understand how to use SQLMap, crack some passwords, reveal services using a reverse SSH tunnel and escalate your privileges to root!",Offensive Pentesting,Easy,Walkthrough,Premium,0,23.01.2020,"Network Scanning Tools, Database Tools, Password Cracking Tools, Penetration Testing Tools, Web Scanning Tools, Web Penetration Tools","nmap, sqlmap, john, Metasploit, Burp Suite",Red,Linux
57,https://tryhackme.com/r/room/openvpn,OpenVPN,A guide to connecting to our network using OpenVPN.,,Easy,Walkthrough,Free,0,25.01.2020,-,-,-,-
58,https://tryhackme.com/r/room/torforbeginners,Tor,A beginner orienteered guide on using the Tor network,,Easy,Walkthrough,Premium,0,28.01.2020,Privacy Tools,"Tor, proxychains",Red,-
59,https://tryhackme.com/r/room/jack,Jack,"Compromise a web server running Wordpress, obtain a low privileged user and escalate your privileges to root using a Python module.",,Hard,CTF,Premium,0,31.01.2020,,,,
60,https://tryhackme.com/r/room/shodan,Shodan.io,Learn about Shodan.io and how to use it for devices enumeration - is your coffee machine publicly accessible?,,Easy,Walkthrough,Free,0,01.02.2020,OSINT Techniques and Tools,shodan.io,Red,-
61,https://tryhackme.com/r/room/geolocatingimages,Geolocating Images,Room to understand how to geolocate images,,Easy,Walkthrough,Free,0,04.02.2020,OSINT Techniques and Tools,-,Red,-
62,https://tryhackme.com/r/room/jupyter101,Jupyter 101,A friendly introduction into using the Jupyter Notebook environment. Learn to process and visualise data!,,Easy,Walkthrough,Free,0,07.02.2020,-,-,-,-
63,https://tryhackme.com/r/room/sudovulnsbof,Sudo Buffer Overflow,A tutorial room exploring CVE-2019-18634 in the Unix Sudo Program. Room Two in the SudoVulns Series,,Info,Walkthrough,Free,0,10.02.2020,Scripting and Automation Tools,-,Red,Linux
64,https://tryhackme.com/r/room/sudovulnsbypass,Sudo Security Bypass,A tutorial room exploring CVE-2019-14287 in the Unix Sudo Program. Room One in the SudoVulns Series,,Info,Walkthrough,Free,0,10.02.2020,Scripting and Automation Tools,-,Red,Linux
65,https://tryhackme.com/r/room/rppsempire,Empire,"Learn how to use Empire and it's GUI Starkiller, a powerful post-exploitation C2 framework.",,Easy,Walkthrough,Free,0,12.02.2020,Penetration Testing Tools,Empire,Red,-
66,https://tryhackme.com/r/room/kali,Kali Machine,Access your own Kali Machine,,Easy,Walkthrough,Premium,0,13.02.2020,-,-,-,-
67,https://tryhackme.com/r/room/cmess,CMesS,Can you root this Gila CMS box?,,Medium,CTF,Free,0,14.02.2020,,,,
68,https://tryhackme.com/r/room/phishinghiddeneye,Phishing: HiddenEye,"A simple guide on how to use a tool known as HiddenEye developed by ANONUD4Y. This tool helps you create a phishing page for different sites such as Gmail, Snapchat, Paypal and more. Including understanding the difference between legit and fake site.",,Easy,Walkthrough,Free,0,16.02.2020,Phishing Tools,HiddenEye,Red,-
69,https://tryhackme.com/r/room/hackernote,hackerNote,"A custom webapp, introducing username enumeration, custom wordlists and a basic privilege escalation exploit.",,Medium,Walkthrough,Free,0,19.02.2020,,,,
70,https://tryhackme.com/r/room/hydra,Hydra,"Learn about and use Hydra, a fast network logon cracker, to bruteforce and obtain a website's credentials.","DevSecOps, CompTIA Pentest+",Easy,Walkthrough,Free,0,19.02.2020,Password Cracking Tools,Hydra,Red,-
71,https://tryhackme.com/r/room/cherryblossom,CherryBlossom,Boot-to-root with emphasis on crypto and password cracking.,,Hard,CTF,Free,0,21.02.2020,,,,
72,https://tryhackme.com/r/room/brainpan,Brainpan 1,"Reverse engineer a Windows executable, find a buffer overflow and exploit it on a Linux machine.",Offensive Pentesting,Hard,Walkthrough,Free,0,24.02.2020,,,,
73,https://tryhackme.com/r/room/willow,Willow,What lies under the Willow Tree?,,Medium,CTF,Free,0,28.02.2020,,,,
74,https://tryhackme.com/r/room/nonamectf,NoNameCTF,"Buffer overflow, server-side template injection and more...",,Medium,CTF,Premium,0,01.03.2020,,,,
75,https://tryhackme.com/r/room/windowsbase,Windows Base,"A windows machine with SysInternals, Cain, BurpSuite, Wireshark, OWASP ZAP and other security tools on.",,Easy,Walkthrough,Premium,0,03.03.2020,-,-,-,-
76,https://tryhackme.com/r/room/cct2019,CCT2019,Legacy challenges from the US Navy Cyber Competition Team 2019 Assessment sponsored by US TENTH Fleet,,Insane,CTF,Free,0,11.03.2020,,,,
77,https://tryhackme.com/r/room/commonlinuxprivesc,Common Linux Privesc,A room explaining common Linux privilege escalation,Complete Beginner,Easy,Walkthrough,Premium,0,18.03.2020,Privilege Escalation Techniques and Tools,-,Red,Linux
78,https://tryhackme.com/r/room/thecodcaper,The Cod Caper,A guided room taking you through infiltrating and exploiting a Linux system.,,Easy,Walkthrough,Free,0,20.03.2020,"Network Scanning Tools, Web Scanning Tools, Database Tools, Penetration Testing Tools, Exploit, Password Cracking Tools","nmap, gobuster, sqlmap, LinEnum, pwndbg, hashcat",Red,Linux
79,https://tryhackme.com/r/room/malmalintroductory,MAL: Malware Introductory,The start of a series of rooms covering Malware Analysis...,Cyber Defense,Easy,Walkthrough,Free,0,21.03.2020,Malware Analysis Tools,"PEiD, IDA, strings, PE Explorer",Blue,-
80,https://tryhackme.com/r/room/vulnversity,Vulnversity,"Learn about active recon, web app attacks and privilege escalation.","Offensive Pentesting, Complete Beginner",Easy,Walkthrough,Free,0,21.03.2020,"Network Scanning Tools, Web Scanning Tools, Web Penetration Tools, Scripting and Automation Tools, Privilege Escalation Techniques and Tools","Nmap, gobuster, Burp Suite",Red,-
81,https://tryhackme.com/r/room/rfirmware,Dumping Router Firmware,Have you ever been curious about how your router works? What OS it runs? What makes it tick?,,Medium,CTF,Free,0,23.03.2020,,,,
82,https://tryhackme.com/r/room/introtonetworking,Introductory Networking,An introduction to networking theory and basic networking tools,"Cyber Defense, Complete Beginner",Easy,Walkthrough,Free,20,24.03.2020,OS Terminal Tools,-,Blue,-
83,https://tryhackme.com/r/room/jackofalltrades,Jack-of-All-Trades,Boot-to-root originally designed for Securi-Tay 2020,,Easy,CTF,Free,0,24.03.2020,,,,
84,https://tryhackme.com/r/room/tomghost,tomghost,Identify recent vulnerabilities to try exploit the system or read files that you should not have access to.,,Easy,CTF,Free,0,27.03.2020,,,,
85,https://tryhackme.com/r/room/googledorking,Google Dorking,Explaining how Search Engines work and leveraging them into finding hidden content!,,Easy,Walkthrough,Free,0,30.03.2020,OSINT Techniques and Tools,-,Red,-
86,https://tryhackme.com/r/room/introtoresearch,Introductory Researching,A brief introduction to research skills for pentesting.,Complete Beginner,Easy,Walkthrough,Free,0,30.03.2020,OSINT Techniques and Tools,-,Red,-
87,https://tryhackme.com/r/room/hackpark,HackPark,"Bruteforce a websites login with Hydra, identify and use a public exploit then escalate your privileges on this Windows machine!",Offensive Pentesting,Medium,Walkthrough,Premium,0,02.04.2020,,,,
88,https://tryhackme.com/r/room/steelmountain,Steel Mountain,"Hack into a Mr. Robot themed Windows machine. Use metasploit for initial access, utilise powershell for Windows privilege escalation enumeration and learn a new technique to get Administrator access.",Offensive Pentesting,Easy,Walkthrough,Premium,0,04.04.2020,"Network Scanning Tools, Penetration Testing Tools, Scripting and Automation Tools","nmap, Metasploit",Red,Windows
89,https://tryhackme.com/r/room/attacktivedirectory,Attacktive Directory,99% of Corporate networks run off of AD. But can you exploit a vulnerable Domain Controller?,Cyber Defense,Medium,CTF,Free,0,07.04.2020,,,,
90,https://tryhackme.com/r/room/malremnuxv2,MAL: REMnux - The Redux,"A revitalised, hands-on showcase involving analysing malicious macro's, PDF's and Memory forensics of a victim of Jigsaw Ransomware; all done using the Linux-based REMnux toolset apart of my Malware Analysis series",Cyber Defense,Easy,Walkthrough,Premium,0,08.04.2020,Forensics Tools,"peepdf, vmonkey, Volatility",Blue,-
91,https://tryhackme.com/r/room/ctf,Fowsniff CTF,Hack this machine and get the flag. There are lots of hints along the way and is perfect for beginners!,,Easy,CTF,Free,0,09.04.2020,"Network Scanning Tools, Encoding/Decoding Tools, Penetration Testing Tools","nmap, Metasploit",Red,-
92,https://tryhackme.com/r/room/yearoftherabbit,Year of the Rabbit,Time to enter the warren...,,Easy,CTF,Free,0,10.04.2020,,,,
93,https://tryhackme.com/r/room/stuxctf,StuxCTF,"Crypto, serealization, priv scalation and more ...!",,Medium,CTF,Free,0,11.04.2020,,,,
94,https://tryhackme.com/r/room/dogcat,dogcat,I made a website where you can look at pictures of dogs and/or cats! Exploit a PHP application via LFI and break out of a docker container.,,Medium,CTF,Free,0,17.04.2020,,,,
95,https://tryhackme.com/r/room/malstrings,MAL: Strings,"Investigating ""strings"" within an application and why these values are important!",Cyber Defense,Easy,Walkthrough,Premium,0,22.04.2020,Malware Analysis Tools,Strings,Blue,-
96,https://tryhackme.com/r/room/picklerick,Pickle Rick,A Rick and Morty CTF. Help turn Rick back into a human!,"Web Fundamentals, Complete Beginner",Easy,CTF,Free,30,22.04.2020,"Network Scanning Tools, Web Scanning Tools, Scripting and Automation Tools, Privilege Escalation Techniques and Tools",-,Red,"Linux, Web"
97,https://tryhackme.com/r/room/blaster,Blaster,A blast from the past!,,Easy,CTF,Free,30,24.04.2020,"Network Scanning Tools, Penetration Testing Tools","nmap, Metasploit",Red,Windows
98,https://tryhackme.com/r/room/nax,Nax,"Identify the critical security flaw in the most powerful and trusted network monitoring software on the market, that allows an user authenticated execute remote code execution.",,Medium,CTF,Free,0,24.04.2020,,,,
99,https://tryhackme.com/r/room/kenobi,Kenobi,"Walkthrough on exploiting a Linux machine. Enumerate Samba for shares, manipulate a vulnerable version of proftpd and escalate your privileges with path variable manipulation.","Offensive Pentesting, Complete Beginner",Easy,Walkthrough,Free,0,25.04.2020,"Network Scanning Tools, Scripting, Automation and Terminal Tools","nmap, smbget, smbclient",Red,Linux
100,https://tryhackme.com/r/room/skynet,Skynet,A vulnerable Terminator themed Linux machine.,Offensive Pentesting,Easy,CTF,Premium,0,27.04.2020,"Network Scanning Tools, Web Scanning Tools, Penetration Testing Tools, Scripting and Automation Tools",-,Red,"Linux, Web"
101,https://tryhackme.com/r/room/learnowaspzap,Introduction to OWASP ZAP,Learn how to use OWASP ZAP from the ground up. An alternative to BurpSuite.,,Easy,Walkthrough,Free,0,28.04.2020,Web Penetration Tools,ZAP,Red,-
102,https://tryhackme.com/r/room/powershell,Hacking with PowerShell,Learn the basics of PowerShell and PowerShell Scripting,Offensive Pentesting,Easy,Walkthrough,Premium,30,28.04.2020,Scripting and Automation Tools,Powershell,-,Windows
103,https://tryhackme.com/r/room/cicada3301vol1,Cicada-3301 Vol:1,A basic steganography and cryptography challenge room based on the Cicada 3301 challenges,,Medium,CTF,Free,0,30.04.2020,,,,
104,https://tryhackme.com/r/room/tonythetiger,Tony the Tiger,Learn how to use a Java Serialisation attack in this boot-to-root,,Easy,Walkthrough,Free,0,01.05.2020,"Network Scanning Tools, Scripting and Automation Tools, Password Cracking Tools, Encoding/Decoding Tools, Privilege Escalation Techniques and Tools",nmap,Red,Linux
105,https://tryhackme.com/r/room/windowsprivescarena,Windows PrivEsc Arena,Students will learn how to escalate privileges using a very vulnerable Windows 7 VM. RDP is open. Your credentials are user:password321,,Medium,Walkthrough,Free,0,01.05.2020,,,,
106,https://tryhackme.com/r/room/convertmyvideo,ConvertMyVideo,My Script to convert videos to MP3 is super secure,,Medium,CTF,Free,0,02.05.2020,,,,
107,https://tryhackme.com/r/room/ironcorp,Iron Corp,Can you get access to Iron Corp's system?,,Hard,CTF,Free,0,03.05.2020,,,,
108,https://tryhackme.com/r/room/networkservices,Network Services,"Learn about, then enumerate and exploit a variety of network services and misconfigurations.","Cyber Defense, Complete Beginner",Easy,Walkthrough,Free,60,05.05.2020,"Penetration Testing Tools, Network Scanning Tools, Traffic Analysis Tools, OS Terminal Tools, Password Cracking Tools","nmap, smbclient, tcpdump, Metasploit, hydra",Red,-
109,https://tryhackme.com/r/room/racetrackbank,Racetrack Bank,It's time for another heist.,,Hard,CTF,Free,0,08.05.2020,,,,
110,https://tryhackme.com/r/room/kothfoodctf,KoTH Food CTF,"Practice Food KoTH alone, to get familiar with KoTH!",,Easy,CTF,Free,0,10.05.2020,,,,
111,https://tryhackme.com/r/room/theimpossiblechallenge,The Impossible Challenge,Hmm,,Medium,CTF,Free,0,11.05.2020,,,,
112,https://tryhackme.com/r/room/anthem,Anthem,Exploit a Windows machine in this beginner level challenge.,,Easy,CTF,Free,0,15.05.2020,,,,
113,https://tryhackme.com/r/room/anonymous,Anonymous,Not the hacking group,,Medium,CTF,Free,0,17.05.2020,,,,
114,https://tryhackme.com/r/room/jvmreverseengineering,JVM Reverse Engineering,Learn Reverse Engineering for Java Virtual Machine bytecode,,Medium,CTF,Free,0,17.05.2020,,,,
115,https://tryhackme.com/r/room/corp,Corp,"Bypass Windows Applocker and escalate your privileges. You will learn about kerberoasting, evading AV, bypassing applocker and escalating your privileges on a Windows system.",Offensive Pentesting,Easy,CTF,Premium,0,20.05.2020,"Password Cracking Tools, Privilege Escalation Techniques and Tools, OS Terminal Tools, Encoding/Decoding Tools","hashcat, PowerUp1.ps1",Red,Windows
116,https://tryhackme.com/r/room/lianyu,Lian_Yu,A beginner level security challenge,,Easy,CTF,Free,0,22.05.2020,"Web Scanning Tools, Coding/Decoding Tools, Steganography Tools, Privilege Escalation Techniques","wfuzz, ",Red,Linux
117,https://tryhackme.com/r/room/postexploit,Post-Exploitation Basics,"Learn the basics of post-exploitation and maintaining access with mimikatz, bloodhound, powerview and msfvenom",,Easy,Walkthrough,Free,0,26.05.2020,"Privilege Escalation Techniques and Tools, Password Cracking Tools, Scripting and Automation Tools","powerview, mimikatz, bloodhound,",Red,Windows
118,https://tryhackme.com/r/room/django,Introduction to Django,How it works and why should I learn it?,,Easy,Walkthrough,Free,0,28.05.2020,Network Scanning Tools,nmap,-,-
119,https://tryhackme.com/r/room/eritsecurusi,Erit Securus I,Learn to exploit the BoltCMS software by researching exploit-db.,,Easy,Walkthrough,Premium,0,29.05.2020,"Network Scanning Tools,  Scripting and Automation Tools",nmap,Red,Linux
120,https://tryhackme.com/r/room/wonderland,Wonderland,Fall down the rabbit hole and enter wonderland.,,Medium,CTF,Free,0,05.06.2020,,,,
121,https://tryhackme.com/r/room/pythonplayground,Python Playground,Be creative!,,Hard,CTF,Free,0,07.06.2020,,,,
122,https://tryhackme.com/r/room/mindgames,Mindgames,Just a terrible idea...,,Medium,CTF,Free,0,10.06.2020,,,,
123,https://tryhackme.com/r/room/tutorial,Tutorial,Learn how to use a TryHackMe room to start your upskilling in cyber security.,"Offensive Pentesting, Cyber Defense, Complete Beginner",Easy,Walkthrough,Free,15,12.06.2020,-,-,-,-
124,https://tryhackme.com/r/room/hello,Welcome,Learn how to use a TryHackMe room to start your upskilling in cyber security.,,Easy,Walkthrough,Free,0,12.06.2020,-,-,-,-
125,https://tryhackme.com/r/room/carpediem1,Carpe Diem 1,Recover your clients encrypted files before the ransomware timer runs out!,,Hard,CTF,Free,0,12.06.2020,,,,
126,https://tryhackme.com/r/room/tempusfugitdurius,Tempus Fugit Durius,"The latin word Durius means ""harder""",,Hard,CTF,Premium,0,15.06.2020,,,,
127,https://tryhackme.com/r/room/breakoutthecage1,Break Out The Cage,Help Cage bring back his acting career and investigate the nefarious goings on of his agent!,,Easy,CTF,Free,0,15.06.2020,,,,
128,https://tryhackme.com/r/room/attackingkerberos,Attacking Kerberos,Learn how to abuse the Kerberos Ticket Granting Service inside of a Windows Domain Controller,Cyber Defense,Easy,Walkthrough,Premium,0,16.06.2020,"Password Cracking Tools,Privilege Escalation Techniques and Tools, Penetration Testing Tools, Password Cracking Tools, Privilege Escalation Techniques and Tools","Kerbrute, Rubeus, Impacket, hashcat, mimikatz",Red,Windows
129,https://tryhackme.com/r/room/haskhell,HaskHell,Teach your CS professor that his PhD isn't in security.,,Medium,CTF,Free,0,17.06.2020,,,,
130,https://tryhackme.com/r/room/yotf,Year of the Fox,Don't underestimate the sly old fox...,,Hard,CTF,Free,0,18.06.2020,,,,
